trade_date,ticker,net_buy_amount,consecutive_buy_days,buy_intensity_pct,open,close,future_return_20d
2026-02-02,008060,87429680,1,0.024246204835239517,10900,10640,0
2026-02-02,008730,3102500,1,0.0004802334220791282,26750,26050,0
2026-02-02,008770,886913825,1,0.04907190527679893,46700,46050,0
2026-02-02,008930,-23754700,0,-0.0008838011313106153,41800,39300,0
2026-02-02,009070,16548990,1,0.008659858712715855,6850,6370,0
2026-02-02,009150,-7747707750,0,-0.03665243608681401,289000,283000,0
2026-02-02,009155,337280000,1,0.09636547375749178,122500,120400,0
2026-02-02,009240,59915800,1,0.005645083888363434,46600,45100,0
2026-02-02,009420,1038232500,1,0.040271609808166076,50700,49350,0
2026-02-02,009450,-261521300,0,-0.03199827925875173,57800,56100,0
2026-02-02,009470,871069200,1,0.2639366749198855,52300,49900,0
2026-02-02,009520,20400,1,2.480413897256053e-06,19280,19750,0
2026-02-02,009540,-5400005500,0,-0.019003794934118454,414500,401500,0
2026-02-02,009680,21437720,1,0.007306578324011684,10300,10460,0
2026-02-02,009830,-927907650,0,-0.020370508128909056,27600,26500,0
2026-02-02,009970,563232950,1,0.020655107623438786,209500,202000,0
2026-02-02,010060,146921550,1,0.007108666925221232,113000,110700,0
2026-02-02,010120,-2025077500,0,-0.012833190747782003,550000,526000,0
2026-02-02,010130,-12157684500,0,-0.03530064954517796,1710000,1650000,0
2026-02-02,010140,-3203237050,0,-0.013284825190776377,29000,27400,0
2026-02-02,010780,-305379200,0,-0.04496114115202824,23900,22500,0
2026-02-02,010950,2292676750,1,0.02016273481828395,105700,101000,0
2026-02-02,011070,-3445288500,0,-0.06116506804503117,239500,238000,0
2026-02-02,011170,353884950,1,0.01070257616456983,80800,77300,0
2026-02-02,011200,-4400271415,0,-0.023886688550105287,19980,19530,0
2026-02-02,011210,-685083100,0,-0.030758769943349744,83000,81900,0
2026-02-02,011760,217964650,1,0.07438518263020223,22500,22150,0
2026-02-02,011780,-1656088700,0,-0.04643653385213862,141700,137000,0
2026-02-02,011785,-85342650,0,-0.04302831336039938,68000,65600,0
2026-02-02,011790,-529306000,0,-0.012547171671318386,115300,111400,0
2026-02-02,011930,-51067489,0,-0.014160005818957952,1779,1752,0
2026-02-02,012330,-2615776750,0,-0.006612275061887741,440000,436000,0
